fid,fname,fruntime,certificate,fbudget,fopening,fcumlative,fGross,fimdb_rating,fimdb_votes,fimd,fdirector,fwriter,flocation,fproduction,fassistant_directors,fcinematographers,fcomposers,feditors,fproducer,fenglish,fmulti_lang,fus,fmulti_country,fcomedy,fadult,fdocumentary,fmystery,fadventure,fbiography,fshort,fnews,fthriller,ffamily,fhistory,fcrime,fhorror,ftalk-show,fwar,fgame-show,freality-tv,fwestern,faction,fmusical,fsport,fmusic,fanimation,fromance,fsci-fi,ffantasy,fdrama,act1,act2,actW,nominated,Won,month,year
tt0221559,On the Edge,85.0,R,7000000,,,,7.1,3668.0,0.7,0.0,0.0,Ireland,other,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Sep,2001
tt4428728,The Crew,81.0,,,,3246104.0,,6.3,3295.0,0.63,0.0,0.0,France,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,3.0,,,Nov,2018
tt5978724,My Days of Mercy,108.0,R,,,51.0,,6.3,1487.0,0.63,0.0,2.0,Germany,other,2.0,3.5,6.5,0.0,0.0,1.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27.0,2.0,29.0,,,Jul,2019
tt5978724,My Days of Mercy,108.0,R,,,51.0,,6.3,1491.0,0.63,0.0,2.0,Germany,other,2.0,3.5,6.5,0.0,0.0,1.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27.0,2.0,29.0,,,Jul,2019
tt0238891,One Hundred Steps,114.0,,,,216026.0,,7.6,4728.0,0.76,0.0,0.0,Italy,other,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Sep,2000
tt0282599,Il Mare,105.0,,2500000,,217147.0,,7.6,7604.0,0.76,0.0,0.0,South Korea,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,,,Sep,2000
tt0157122,Faithless,154.0,R,,29462.0,918033.0,739055,7.4,3127.0,0.75,0.0,26.5,Norway,other,0.0,3.5,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.0,0.0,2.0,,,Sep,2000
tt0240894,Sharing the Secret,90.0,,,,,,6.4,850.0,0.64,0.0,0.0,USA,other,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,,,May,2000
tt0216851,White Water Fury,,,,,,,3.9,602.0,0.4,0.0,0.0,Sweden,other,0.0,1.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,,,Apr,2000
tt3758172,Jungle,115.0,R,,,1906640.0,,6.7,38538.0,0.67,0.0,0.0,Germany,other,0.0,0.5,12.0,1.5,0.0,1.0,3.0,0.0,3.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,0.0,10.0,,,Oct,2017
tt3758172,Jungle,115.0,R,,,1906640.0,,6.7,38542.0,0.67,0.0,0.0,Germany,other,0.0,0.5,12.0,1.5,0.0,1.0,3.0,0.0,3.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,0.0,10.0,,,Oct,2017
tt0243135,Happenstance,90.0,R,,8777.0,251444.0,251444,6.8,3741.0,0.6799999999999999,0.0,2.0,France,other,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,1.0,,,Jun,2000
tt0367699,Sexy Dancing,85.0,,,,,,5.0,32.0,0.5,0.0,0.0,France,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,,,Sep,2000
tt5688068,Above Suspicion,,,,,21712.0,,5.8,123.0,0.71,0.0,0.0,USA,other,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,
tt5114984,Team Spirit,117.0,,,,1966165.0,,6.7,964.0,0.67,13.0,13.0,France,other,0.0,1.0,0.5,0.0,13.0,0.0,1.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Jun,2016
tt0160550,Moscow,139.0,,,,,,6.5,308.0,0.65,0.0,0.0,Estonia,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,,Mar,2001
tt0194026,A Charming Mass Suicide,118.0,,,,,,5.6,462.0,0.55,0.0,0.0,Finland,other,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2.0,,,Mar,2000
