fid,fname,fruntime,fimdb_rating,fimdb_votes,fimd,fdirector,fwriter,fassistant_directors,fcinematographers,fcomposers,feditors,fproducer,fenglish,fmulti_lang,fus,fmulti_country,fmystery,fadventure,ffamily,fromance,fthriller,fwestern,fhistory,fmusical,fdrama,fwar,ffantasy,fcrime,fanimation,fsport,faction,fbiography,fcomedy,fsci-fi,fhorror,fmusic,actW,nominated,Won,month,year,certificate_G,certificate_PG,certificate_PG-13,certificate_R,certificate_Unrated,fproduction_BBC Films,fproduction_Columbia Pictures,fproduction_Dimension Films,fproduction_DreamWorks,fproduction_Fox Searchlight Pictures,fproduction_Lionsgate,fproduction_Millennium Films,fproduction_New Line Cinema,fproduction_Paramount Pictures,fproduction_Screen Gems,fproduction_Summit Entertainment,fproduction_Twentieth Century Fox,fproduction_Universal Pictures,fproduction_Walt Disney Pictures,fproduction_other,fGross_y,fbudget_y,fcumlative_y
tt0161860,Nowhere in Africa,141.0,7.5,11911.0,0.75,6.0,6.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0,1.0,1.0,5,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6180200.0,7802900.0,24322180.0
tt0162346,Ghost World,111.0,7.3,108350.0,0.73,4.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.0,1.0,0.0,9,2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6217849.0,7000000.0,8764007.0
tt0162711,Trixie,116.0,5.0,1377.0,0.5,3.0,3.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10.0,0.0,0.0,8,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,295683.0,8614027.9,295683.0
tt0163025,Jurassic Park III,92.0,5.9,281140.0,0.5900000000000001,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9.0,0.0,0.0,7,2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,181171875.0,93000000.0,368780809.0
tt0163080,The Magic Pudding,80.0,5.8,400.0,0.5900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,12,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,312478797.1,2300430.2,368626.0
tt0163080,The Magic Pudding,80.0,5.8,402.0,0.5900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,12,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,312478797.1,2300430.2,368626.0
tt0163745,The Debut,94.0,6.5,608.0,0.6599999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,8,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1745778.0,1528069.4,1745778.0
tt0164003,City of Ghosts,116.0,6.0,4771.0,0.6,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.0,0.0,0.0,3,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,357197.0,17500000.0,1277187.0
tt0164334,Along Came a Spider,104.0,6.4,70399.0,0.64,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,2.0,1.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.0,0.0,0.0,4,2001,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,74078174.0,60000000.0,105178561.0
tt0164961,Vidocq,98.0,6.5,20381.0,0.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,12.0,0.0,0.0,9,2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,232507672.5,21714286.0,13240767.0
tt0165982,Sinbad: Legend of the Seven Seas,86.0,6.7,45888.0,0.67,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.0,0.0,0.0,7,2003,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26483452.0,60000000.0,80767884.0
