name,id,fid,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
Leapfrog: Learn Numbers and Shapes,tt4294114,4294114.0,91,,None,['us'],['en'],,,,,,,Jan 2013 (UK),Leapfrog: Learn Numbers and Shapes,,,,,,,,,,,,,
Karaoke with Frank S.,tt6059736,6059736.0,79,"['Yael Appleboum', 'Eran ben Zvi', 'Guy Berman Machlis', 'Gili A. Danon', 'Uri Shalev', 'Mickey Yonas', 'Shimi Zahavi']",['Crime'],['il'],['he'],,30000.0,,,,,,Karaoke with Frank S.,Zvika Pincus,Zvika Pincus,,Dor Mosessco,Zvika Pincus,Psychodoll Pictures,,,Zvika Pincus,,,,
Anoko wa sabukaruchâ ga suki,tt3353084,3353084.0,47,,['Music'],['jp'],['ja'],,,,,,,,Anoko wa sabukaruchâ ga suki,Kohei Taniguchi,,,,,,,,,,,,
En El Mapa,tt3288526,3288526.0,,"['Daniela Krstic', 'Ramiro Mendez Roy', 'Angel Vlachoff']",['Drama'],['ar'],['es'],,,,,8.6,7.0,,En El Mapa,Romina Vlachoff,Romina Vlachoff,,Luciano Hernandez,,No Hay Perro films,,Carlos Margara,Ismael Zgaib,Max Zampieri,,,
Conscious Matter,tt2767904,2767904.0,46,"['Que Michaels', 'Dennis Mencia']",['Drama'],['us'],['en'],,13000.0,,,,,,Conscious Matter,Luis Robledo,Que Michaels,,Ivan Donadic,Que Michaels,Center For The Cinematic Arts,,,Luis Robledo,Eduardo Servello,Ivan Donadic,Jeff Hohimer,
Q.L.U.E: The Forgotten Man Part One,tt5190672,5190672.0,,"['Andrew L. McClain', 'Spencer McClain', 'Aliina Gibby', 'Peter Kemp', 'Kennedy Mallory', 'Jin Xian Moosman', 'Spencer Anderson', 'Nathan Koyle', 'Hadlei Beck', 'Sierra Thomander', 'Josh Beck', 'Katy McClain', 'Morgan Hunt', 'Anson Call', 'Mikkel Chapman', 'Zeke Contreras', 'Dexter Greener', 'Brayden McCracken', 'Jie Ming Moosman', 'Brad Robinson', 'Cody Greener', 'Skylar Page']",['Action'],['us'],['en'],,,,,,,,Q.L.U.E: The Forgotten Man Part One,Andrew L. McClain,Peter Kemp,,Andrew L. McClain,Spencer McClain,A Backyard Tr-Pod Film,A Backyard Tripod Film,,Andrew L. McClain,Josh Beck,,,
Okno,tt3322930,3322930.0,78,['Regina Shchukina'],"['Drama', 'Family']",['ru'],['ru'],,,,,,,,Okno,Nikolay Rogozhin,Alena Egorina,,Alena Egorina,,,,,Sergey Iordanishvili,Roman Gunchenko,,,
Final Promises,tt2801176,2801176.0,,"['Alexander J. Farrell', 'Dominic Farrell', 'Zana Salobir', 'Velile Tshabalala']",['Drama'],['bg'],['en'],,250000.0,,,,,,Final Promises,Josef Cannon,Josef Cannon,,Karen Albert,Josef Cannon,CannonVision Productions,,Richard Eagle,Pete Bovan,Darrell Lloyd,,,
Coffee in Winter,tt3196640,3196640.0,95,"['Artur Nilov', 'Andrew J Walker', 'Vinod Govindbhai', 'Anna Devi', 'Kim Bormann', 'Sabrina', 'Roderick Masih', 'Katharina Glees', 'Gurjit Bahia', 'Brad Edwards', 'Reiss Parmar', 'Marcus Regis Emmanuel']","['Drama', 'Romance']",['gb'],['en'],,,,,,,,Coffee in Winter,Manjeet S Gill,Manjeet S Gill,,Manjeet S Gill,,Black Country Cinema,,,Manjeet S Gill,Manjeet S Gill,,Matthew E Carter,
Followed,tt3229960,3229960.0,3,"['Remi Levins', 'Kevin Robkin']","['Short', 'Action', 'Comedy', 'Family']",['us'],,,,,,,,,Followed,Gabrielle Giacomo,Gabrielle Giacomo,,,,,,,Gabrielle Giacomo,Morgan Herbert,,,Gabrielle Giacomo
Mostly Awake,tt2730016,2730016.0,100,"['Trevor Hamilton', 'Sean McMahon', 'Manon Parent', 'Cody Cardarelli', ""Phill O'Connor"", 'Roland Wise', 'Daniel Kim', 'Alana Blake', 'Sean McMahon', 'Sean McMahon', 'Sean McMahon', 'Thomas Blake Ramsey']","['Comedy', 'Drama']",['us'],['en'],,3000.0,,,,,Feb 2013 (USA),Mostly Awake,Cody Swanson,Cody Swanson,,Cody Cardarelli,Bryan Ellingson,Dandelion Dandy Productions,,,Cody Swanson,Cody Swanson,,,
In the Middle of No One,tt2443692,2443692.0,,,['Comedy'],['gb'],['en'],,,,,,,01 Jan 2013 (UK),In the Middle of No One,Paul Wheeler,Shenoah Allen,,Alan Marke,Gary Matsell,,,Kevin Hume,,,,,
Lafnetscha,tt3241872,3241872.0,75,"['Christian Müller', 'Repetto Valentina']","['Adventure', 'Music', 'Mystery']",['it'],['de'],,,,,,,,Lafnetscha,Veronika Riz,Eduard Habsburg,,Wilfried Gufler,,Albolina Film,,Sam Beste,Britta Nahler,Gustav Hungar,,,
An Even Worse Joke,tt3345470,3345470.0,69,"['Rob Clark', 'Calix Lewis Reneau']","['Comedy', 'Family']",['us'],['en'],,,,,,,,An Even Worse Joke,Calix Lewis Reneau,Rob Clark,,Rob Clark,Calix Lewis Reneau,,,,,,,,
Infinity,tt4707710,4707710.0,,"['Hitesh Kapoor', 'Tapan iv Shah']","['Short', 'Horror']",['in'],['hi'],,,,,,,25 Nov 2013 (India),Infinity,Aish Shukla,Aish Shukla,,Aish Shukla,,,,,Aish Shukla,Aish Shukla,,,
Loneliness Stone,tt3368450,3368450.0,70,,['Drama'],['jp'],['ja'],,,,,,,,Loneliness Stone,Yo Taniai,Yo Taniai,,,,,,,,,,,
Busted,tt4521164,4521164.0,,"['Cole Durbin', 'Chailee Friant', 'David McCarthy', 'Joanna Musulman', 'Alex Smith', 'Jasmine Smith', 'Norel Smith']","['Short', 'Adventure']",['us'],['en'],,100.0,,,,,13 May 2013 (USA),Busted,Ted Means,Ted Means,,,,Not Enough Idiots,,,Ted Means,Ted Means,,,
Pedazos de Mi,tt2211828,2211828.0,8,['Sofia Orduno'],"['Short', 'Drama']",['us'],['es'],,,,,,,2013 (USA),Pedazos de Mi,Roman Gabriel Arriola,Roman Gabriel Arriola,,Roman Gabriel Arriola,Frederick Duarte,,,,Roman Gabriel Arriola,Roman Gabriel Arriola,,,Roman Gabriel Arriola
Dos Amigos Una Historia,tt6779782,6779782.0,180,"['Teddy Guzmán', 'Homero', 'William Luna']",['Adventure'],['ph'],['es'],Approved,70000.0,,,,,05 Jul 2013 (Peru),Dos Amigos Una Historia,Rubén Martorell,Rubén Martorell,,Rubén Martorell,,Solart Films,,,Juan Carlos Fajardo,Rey Cajacuri,,,
Jade,tt2359998,2359998.0,108,"['Krystal Kaminar', 'Scott McEntire', 'Verda Davenport', 'Joe Ochterbeck', 'Kayla Esmond', 'Cj Bernard', 'Vivian Parr', 'Jeri Shire', 'Moriah Patterson', 'Brittany Sparkles', 'Rebecca Hughes', 'Tony Gschwend', 'Gregory Chisley', 'Jimmy Westmoreland', 'Tony Walker', 'Jj Baggies', 'Michael Day', 'Ifesinachi Egbosimba', 'Sandra Esmond', 'Georgie LaRue Greenbriar', 'Zach Hoyt', 'John Kaminar', 'Toni Kaminar', 'Rodney T. Mosley', 'Dennis Ochterbeck', 'Linda Ochterbeck']","['Crime', 'Drama']",['us'],['en'],,,,,,,,Jade,Jess Carson,Jess Carson,,Jess Carson,Jonathan Carson,10th Dimension Films,,Jess Carson,Tyler Herron,Ariel Bisbee,,,
A Christmas Carol Radio Show,tt7747454,7747454.0,90,"['Dick Avery', 'India Bastien', 'Clara Dunham', 'Michael Sean Erickson', 'Geoffrey Hargreaves', 'Terri Petersen', 'Frank Simmons', 'Henry Vermillion', 'John Wharton', 'Britt Zaist']",['Family'],['us'],['en'],,100000.0,,,,,12 Dec 2013 (USA),A Christmas Carol Radio Show,Chuck Rubin,,,,,Players Workshop,,,,,,,
"Born to Fly, Born to Die",tt8074360,8074360.0,,"['Nick Payne', 'Emily Pease', 'Emily Scott']","['Comedy', 'Drama', 'Thriller']",['gb'],['en'],,,,,,,21 Nov 2013 (UK),"Born to Fly, Born to Die",Nick Payne,Nick Payne,,Nick Payne,,Nick Payne Films,,,Nick Payne,Sally Newman,,,
Oriental Chinese Dream,tt7530364,7530364.0,,"['Haiming Diao', 'Ming Gao', 'Jinglin Guo']",['Drama'],['cn'],,,,,,,,27 Jun 2013 (China),Oriental Chinese Dream,Zhen Yang,,,,,,,,,,,,
Ante psuxoula mou skotose me,tt7005304,7005304.0,,['Mary Iglesi'],None,,,,,,,,,,Ante psuxoula mou skotose me,Eleni Gerasimidou,,,,,,,,,,,,
Amalayu,tt8192540,8192540.0,,"['Haregewine Assefa', 'Mahder Assefa', 'Girum Ermias', 'Tewodros Seyoum']",['Comedy'],['et'],['am'],,,,,,,10 Jul 2013 (Ethiopia),Amalayu,Anteneh Girma,Anteneh Girma,,Kirubel Asfaw Mengesha,,,,,Ibrahim Kassa,Ibrahim Kassa,,,
What We Do in the Shadows,tt3416742,3416742.0,86,"['Jemaine Clement', 'Taika Waititi', 'Jonny Brugh', 'Cori Gonzalez-Macuer', 'Stu Rutherford', 'Ben Fransham', 'Jackie van Beek', 'Elena Stejko', 'Jason Hoyte', ""Karen O'Leary"", 'Mike Minogue', 'Chelsie Preston Crayford', 'Ian Harcourt', 'Ethel Robinson', 'Brad Harding', 'Isaac Heron', 'Yvette Parsons', 'Madeleine Sami', 'Aaron Jackson', 'Morgana Hills', 'Morag Hills', 'Frank Habicht', 'Maurice Kapua', 'Denis Welch', 'Mario Gaoa', 'Kura Forrester', 'Luke Bonjers', 'Rhys Darby', 'Simon Vincent', 'Cohen Holloway', 'Duncan Sarkies', 'Nathan Meister', 'Tanemahuta Gray', 'Nathan Gray', 'Ruby Vincent', 'Jaxson Cook', 'Matthew Harvey-White', 'Matthew Dravitzki', 'Roland Hunter', 'Stan Alley', 'Lucy Marinkovich', 'Melanie Hamilton', 'Anna Flaherty', 'Aaron Lewis', 'Belle Gwilliam', 'Rodney Cook', 'Christian Alexander', 'Tim Capper', 'Robert Catto', 'Natalie Crane', 'Leroy Cross', 'Emma Draper', 'Graeme Ford', 'John Gavriel', 'Adolf Hitler', 'Freyja MacLeod', 'Jennifer Martin', 'Simon McArthur', 'Daniel Rathbon', 'Emma Smith', 'Christopher Winchester']","['Comedy', 'Horror']",['nz'],"['en', 'de', 'es']",R,1600000.0,,,7.7,133864.0,19 Jun 2014 (New Zealand),What We Do in the Shadows,Jemaine Clement,Jemaine Clement,Taika Waititi,Emma Bartlett,Jemaine Clement,Unison Films,Defender Films,Plan 9,Tom Eagles,Richard Bluck,,Bruno Du Bois,Stan Alley
Hercules,tt1267297,1267297.0,98,"['Dwayne Johnson', 'Ian McShane', 'John Hurt', 'Rufus Sewell', 'Aksel Hennie', 'Ingrid Bolsø Berdal', 'Reece Ritchie', 'Joseph Fiennes', 'Tobias Santelmann', 'Peter Mullan', 'Rebecca Ferguson', 'Isaac Andrews', 'Joe Anderson', 'Stephen Peacocke', 'Nicholas Moss', 'Robert Whitelock', 'Irina Shayk', 'Christopher Fairbank', 'Ian Whyte', 'Karolina Szymczak', 'Matt Devere', 'Máté Haumann', 'Barbara Palvin', 'Tonia Sotiropoulou', 'Caroline Boulton', 'Robert Maillet', 'Oliver Doherty', 'Tom Doherty', 'Panka Kovacs', 'Mark C. Phelan', 'John Cross', 'Peter Ivanyi', 'Erika Marozsán', 'Nóra Hörich', 'Athina Papadimitriu', 'Anna Trokán', 'Judit Viktor', 'Csilla Baksa', 'Elena V. Holovcsak', 'Petra Piringer', 'Erika Lajos', 'Dora Kanizsa', 'Sydney van den Bosch', 'Lilla Bozoki', 'Dalma Lörincz', 'Patricia Hegedus', 'Tímea Vajna', 'Benjamin Blankenship', 'Erik Orgovan', 'Shay Sabag', 'Anna Zsíros', 'Jean Pigozzi', 'Anna Skidanova', 'Kristina Starostina', 'Dorottya Podmaniczky', 'Lilla Babos', 'Aden G. Wright', 'Tamas Csernus', 'Jenei Attila', 'Miklós Bányai', 'Jenei Csaba', 'Sebastien Cuk', 'Kalle Hennie', 'Kornelia Horvath', 'Irina Konstantinova', 'Ócsai Krisztián', 'Zoltan Lörincz', 'Anthony Milton', 'Adam Nemet', 'Sergej Onopko', 'Daniel Westwood', 'András Ábel']","['Action', 'Adventure', 'Fantasy']","['us', 'hu']",['en'],PG-13,100000000.0,"$29,000,000, 27 Jul 2014",244819862.0,6.0,139527.0,23 Jul 2014 (Philippines),Hercules,Brett Ratner,Ryan J. Condal,Evan Spiliotopoulos,Sarah Aubrey,Peter Berg,Paramount Pictures,Metro-Goldwyn-Mayer (MGM),Fernando Velázquez,Mark Helfrich,Dante Spinotti,Tina Jones,Jeff J.J. Authors,Nada Abdou
Veronica Mars,tt2771372,2771372.0,107,"['Kristen Bell', 'Jason Dohring', 'Enrico Colantoni', 'Chris Lowell', 'Percy Daggs III', 'Tina Majorino', 'Krysten Ritter', 'Martin Starr', 'Gaby Hoffmann', 'Andrea Estella', ""Jerry O'Connell"", 'Francis Capra', 'Ryan Hansen', 'Brandon Hillock', 'Maury Sterling', 'Sam Huntington', 'Max Greenfield', 'Daran Norris', 'Amanda Noret', 'Jonathan Chesner', 'Christiann Castellanos', 'Akiko Morison', 'Eden Sher', 'Christine Lakin', 'Lisa Thornhill', 'Charles Latibeaudiere', 'Harvey Levin', 'Patrick Cox', 'Adam Johnson', 'Ira Glass', 'Alejandro Escovedo', 'Larry Bates', 'Matthew Arkin', 'Dave Allen', 'Eddie Jemison', 'Alex Poncio', 'Helen Slayton-Hughes', 'Ryan Lane', 'Ingo Neuhaus', 'Jessica Camacho', 'Meredith Eaton', 'Robert Hallak', 'Jamie Lee Curtis', 'Dax Shepard', 'Jeremy Fitzgerald', 'Dorian Kingi', 'Ken Marino', 'Kevin Sheridan', 'Duane Daniels', 'Mario Ardila Jr.', 'Melissa Sue Anderson', 'Kyle Bornheimer', 'Daniel N. Butler', 'Greg Caldwell', 'Isaac J. Cruz', 'Steven Dengler', 'James Franco', 'Adam Hart', 'Robbie Heacock', 'Robert Herald', 'Parker Kinley', 'Jessica Knight', 'Joshua Lassman', 'Alexis Link', 'Justin Long', 'Jon Maxwell', 'Sean McNabb', 'Mia Ella Mimica', 'Geoff Pilkington', 'Nora Sakal', 'Manuel Schwarz', 'Filip Watermann', 'Martin Yu']","['Crime', 'Drama', 'Mystery', 'Thriller']","['us', 'gb', 'fr', 'de']",['en'],PG-13,6000000.0,"$1,988,351, 16 Mar 2014",,6.8,48463.0,13 Mar 2014 (Germany),Veronica Mars,Rob Thomas,Rob Thomas,Diane Ruggiero-Wright,Ivan Askwith,Kristen Bell,Warner Bros. Digital Distribution,Spondoolie Productions,Josh Kramon,Daniel Gabbe,Ben Kutchins,Cindy Coburn,Steven Buhai,Dave Isaac Santos Abuel
RoboCop,tt1234721,1234721.0,117,"['Joel Kinnaman', 'Gary Oldman', 'Michael Keaton', 'Abbie Cornish', 'Jackie Earle Haley', 'Michael Kenneth Williams', 'Jennifer Ehle', 'Jay Baruchel', 'Marianne Jean-Baptiste', 'Samuel L. Jackson', 'Aimee Garcia', 'Douglas Urbanski', 'John Paul Ruttan', 'Patrick Garrow', 'K.C. Collins', 'Daniel Kash', 'Zach Grenier', 'Maura Grierson', 'Stewart Arnott', 'Matt Cooke', 'Steve Cumyn', 'Noorin Gulamgaus', 'Marjan Neshat', 'Sam Motazedi', 'Khaliya Hosein', 'Savana Hosein', 'Philip Akin', 'Paul Haywood', 'Adrian Griffin', 'Rick Hughes', 'Raffi Altounian', 'Melanie Scrofano', 'Kelvin Wheeler', 'Alex Mallari Jr.', 'Dwayne McLean', 'Tattiawna Jones', 'Wayne Downer', 'Robert Thomas', 'Jordan Johnson-Hinds', 'Ian Peters', 'Ricardo Betancourt', 'Evan Stern', 'Ishan Morris', 'Ambrose Wong', 'Mark McKay', 'Aurora Browne', ""Rory O'Shea"", 'Shondra Kayd', 'Stacey Unsworth', 'Jeana Lowes', 'Kanu Giddings', 'Tamara Almeida', 'Shane Invervary', 'Paul Sun-Hyung Lee', 'Thomas Mitchell', 'Ian Butcher', 'Rocky Anderson', 'Dalias Blake', 'Barry Nerling', 'Dean Redman', 'Demord Dann', 'Darcy Hinds', 'Sean Francis', 'Steve Wright', 'Kirby Morrow', 'David Harcourt', 'Kevin Hare', 'Carlyn Burchell', 'Markus Parilo', 'Jessica Booker', 'Joe Merritt', 'Raiden Eastman', 'Aaliyah Cinello', 'Meghan Hoople', 'Prince Massey', 'Emeka Agada', 'Mark Baldesarra', 'Jason Bigio', 'Sharon Canovas', 'Tommy Chang', 'Jimmy Chimarios', 'Jourdan Chow', 'Raven Cinello', 'Brian Cranstone', 'Hooman Esmailzadeh', 'Tazito Garcia', 'WBBrown II', 'Shane Clinton Jarvis', 'Kevin Kirkham', 'Veronika Paz', 'Stephen Quammie', 'Guy Quango', 'Diezel Ramos', 'Jon Rhys', 'Rebecca Rodley', 'Matthew Sauvé', 'Azra Valani', 'Mark Van Woert', 'Joe Vercillo', 'Joshua William James', 'Peter Yan', 'Matt Yantha']","['Action', 'Crime', 'Sci-Fi', 'Thriller']",['us'],"['en', 'fa', 'uk']","TV-14::(LV, TV Rating.)",100000000.0,"$25,061,581, 16 Feb 2014",,6.2,208831.0,30 Jan 2014 (Malaysia),RoboCop,José Padilha,Joshua Zetumer,Edward Neumeier,Marc Abraham,Roger Birnbaum,Metro-Goldwyn-Mayer (MGM),Columbia Pictures,Pedro Bromfman,Peter McNulty,Lula Carvalho,Carolyn 'Cal' Loucks,Jeff J.J. Authors,Pedro Pozo Acosta
Annie,tt1823664,1823664.0,118,"['Jamie Foxx', 'Quvenzhané Wallis', 'Rose Byrne', 'Bobby Cannavale', 'Adewale Akinnuoye-Agbaje', 'David Zayas', 'Cameron Diaz', 'Zoe Margaret Colletti', 'Nicolette Pierini', 'Eden Duncan-Smith', 'Amanda Troya', 'Dorian Missick', 'Tracie Thoms', 'Mike Birbiglia', 'Stephanie Kurtzuba', 'Peter Van Wagner', 'Ray Iannicelli', 'Michael J. Fox', 'Jill Nicolini', 'Raushanah Simmons', 'Brad Bong', 'Andrew Fleming', 'Ty Jones', 'Jessica Sherr', 'DonnaMarie Recco', 'Victor Cruz', 'Taylor Richardson', 'Mimi Bessette', 'Ryan DeLuca', 'Danny Flaherty', 'Gordon Joseph Weiss', 'Patricia Clarkson', 'Brendan Burke', 'Allison Jean White', 'Sia', 'Taryn Gluck', 'Alexandra Gluck', 'Derrick Baskin', 'Pernell Walker', 'Lannon Killea', 'Molly Prather', 'Bobby Moynihan', 'Mila Kunis', 'Ashton Kutcher', 'Rihanna', 'Scarlett Benchley', 'Pat Kiernan', 'Beth Rowe', 'Lytle Harper', 'Brittany Connors', 'Aldous Davidson', 'Lance Kerfuffle', 'Kevin Cannon', 'J. Kaitlin Becker', 'Alan D. Purwin', 'Ben Skorstad', 'Gia Henderson', 'Mark Whitfield', 'Matthew Rush Sullivan', 'Sade Demorcy', 'Brittany Parks', 'Emma Wetzel', 'Eliza David', 'Hannah Green', 'Tymell Hubbard', 'Joseph Mancini', 'Josh Price', 'Alex Rubiano', 'Sofia Rubino', 'Olivia Belasco', 'Sandy Marti', 'Shannon Krowicki', 'Jared Brito', 'Angelina Colletti', 'Shari Council', 'Deshane Granger', 'Amyrh Harris', 'Nadia Jewel', 'Savannah McCauley', 'Phil Oddo', 'Jacqueline Quinn', 'Rebecca Riley', 'Nina Rosenthal', 'Temple University Diamond Marching Band', 'Carson Allsteadt', 'Angelica S Alvarez', 'Kayla Ayler-McCormick', 'Gabriella Baldacchino', 'Cynthia Basinet', 'Dylan Bibb', 'Richard Bird', 'Helen Brackel', 'Ashley Brooke', 'Jerome Brooks Jr.', 'Kenedy Brown', 'Brady Bryson', 'José Báez', 'Maesi Caes', 'Michael Carey', 'Olivia Coronel', 'Mario Corry', 'Marmee Regine Cosico', 'Rachel Crowther', 'Chris J. Cullen', 'Ryan Curtis', 'Marc I. Daniels', 'Jessica Doehle', 'Laurie Folkes', ""Leon 'Lee' Fuller"", 'Samantha Gelnaw', 'Chetna Goel', 'Karen Goeller', 'Matthew Gooley', 'Daisha Graf', 'Danny Guzman', 'Solomon Hailemichael', 'Darryl Reuben Hall', 'Jessica Marie Hamilton', 'Sierra Haschak', 'Peyton Heitz', 'Alexandra Hulme', 'Joseph Anthony Jerez', 'Jazmin Kamali', 'Zivile Kaminskaite', 'Kenneth Kopolovicz', 'Hannah Kurczeski', 'Jenny Laroche', 'Sammie Lenzi', 'Ari Lopez', 'Danny L. Martin', 'Meghan Mazurczyk', 'Doris McCarthy', 'Bianca C. McCormick', 'Tate McRae', 'Jalina Mercado', 'Autumn Miller', 'Madlyn Mondoil', 'Finian Montague', 'Maeve Rose Montague', 'Jon Necaj', ""Booch O'Connell"", 'Evie Paller', 'Nora Paller', 'Eric Paterniani', 'Josh Elliott Pickel', 'Kaylee Quinn', 'GeNye Robinson', 'Germir Robinson', 'Alyssa Ruland', 'Clifton Samuels', 'Karah Serine', 'Jesse Ray Sheps', 'Nancy Ellen Shore', 'Nick Silva', 'Paulina Simkin', 'Zariah Singletary', 'Bea Soong', 'Sophia Sage Speringo', 'Nadia Turner', 'Ruby Rose Turner', 'Julianna van Golen', 'Theo van Golen', 'Bill Walters', 'Miriam Weisbecker', 'William Henderson White', 'Darren Whitfield', 'Justice Winter', 'Emma York']","['Comedy', 'Drama', 'Family', 'Musical']",['us'],['en'],PG,65000000.0,"$15,861,939, 21 Dec 2014",134611262.0,5.3,32029.0,17 Dec 2014 (Netherlands),Annie,Will Gluck,Will Gluck,Aline Brosh McKenna,Jay Brown,Celia D. Costas,Marcy Media,Olive Bridge Entertainment,Greg Kurstin,Tia Nolan,Michael Grady,David Schlesinger,David M. Dunlap,Glenn Allen
The Drop,tt1600196,1600196.0,106,"['Tom Hardy', 'Noomi Rapace', 'James Gandolfini', 'Matthias Schoenaerts', 'John Ortiz', 'Elizabeth Rodriguez', 'Michael Aronov', 'Morgan Spector', 'Michael Esper', 'Ross Bickell', 'James Frecheville', 'Tobias Segal', 'Patricia Squire', 'Ann Dowd', 'Chris Sullivan', 'Lucas Caleb Rooney', 'Jeremy Bobb', 'James Colby', 'Mike Houston', ""Michael O'Hara"", 'Scott Johnsen', 'David Brown', 'Jessica Tate', 'John Di Benedetto', 'Robert Turano', 'Erin Darke', 'Khan Baykal', 'Jack Dimich', 'Danny McCarthy', 'Cathy Trien', 'Joseph Basile', 'Rick Bolander', 'David Boston', 'Roger Brenner', 'Richard Cerqueira', 'Mario Corry', 'Joseph A. DiPietro', 'Joe Remy Dolinsky', 'Shawn Gonzalez', 'John Merolla', 'Marinko Radakovic', 'Noah Radcliffe', 'Thomas Raimondo', 'Lauren Susan', 'Matthew Tronieri', 'Barry Wetcher', 'Misha Whalen', 'Sam Yazbeck', 'Alex Ziwak']","['Crime', 'Drama']",['us'],"['en', 'ru']",R,12600000.0,"$4,104,552, 12 Sep 2014",,7.1,135234.0,2014 (Croatia),The Drop,Michaël R. Roskam,Dennis Lehane,,Blair Breard,Peter Chernin,Big Screen Productions,Bob Industries,Marco Beltrami,Christopher Tellefsen,Nicolas Karakatsanis,Mila Khalevich,Timothy Bird,Sean Araki
Endless Love,tt2318092,2318092.0,104,"['Alex Pettyfer', 'Gabriella Wilde', 'Bruce Greenwood', 'Joely Richardson', 'Robert Patrick', 'Rhys Wakefield', 'Dayo Okeniyi', 'Emma Rigby', 'Anna Enger Ritch', 'Fabianne Therese', 'Mike Bland', 'Jake Schultz', 'Jeff Pope', 'Zechariah Pierce', 'Ryan Lewis', 'Dan Triandiflou', 'Stephanie Northrup', 'Andrew Masset', 'Patrick Johnson', 'Alexa Rachelle Jennings', 'Jonathan Velazquez', 'Marie Burke', 'Danielle Rodas', 'Tallie L. Brinson', 'William Henry Milne', 'Sonia Rose', 'Joey Nappo', 'Jimmy Gonzales', 'Michelle Brzenk', 'Sharon Conley', 'Matthew Withers', 'Alexandra Bartee', 'Jon Menick', 'Nelson Bonilla', 'Nathan Standridge', 'Skip P. Welch', 'Judith Weston', 'Lisa M. Barfield', 'Chance Bartels', 'Candace Blanchard', 'Kenesha Bolton', 'Becky Boyd', 'Wadette Bradford', 'Michael Corey', 'Haley Covalli', 'Haley Craft', 'Jonathan Davila', 'Andrea Douglas-Marchman', 'Felix East', 'Jacklyn Edney', 'Alexandra Ficken', 'Fred Galle', 'Jeff Glover', 'Chip Gunnell', 'Mallory Haller', 'Chas Harvey', 'Mary Ellen Itson', 'Malcolm F. Johnson', 'Key Jones', 'Noah Hudson Killingbeck', 'Jesse Kindred', 'Kristi Lauren', 'Marc-Henry Lazarre', 'Scott Ledbetter', 'Spring Leshiek', 'Stephanie Long', 'Anissa Matlock', ""Taryn Kae'lyn Mcfarthing"", 'Garrick Parks', 'Eleni Rivera', 'Manuel Rodriguez', 'Valeri Rogers', 'Patrick Rokn', 'Paisley Scott', 'Martin Seifert', 'Gabriela Spencer', 'Laura Stetman', 'Abigail Anne Thompson', 'Wenzell Washington', 'Charles Tyler West', 'Shayla West', 'Dawn Young-McDaniel']","['Drama', 'Romance']",['us'],['en'],PG-13,20000000.0,"$15,059,000, 17 Feb 2014",,6.3,38668.0,12 Feb 2014 (Philippines),Endless Love,Shana Feste,Shana Feste,Joshua Safran,Pamela Abdy,J. Miles Dale,Bluegrass Films,Fake Empire,Christophe Beck,Maryann Brandon,Andrew Dunn,Wayne Shepherd,Philip Banks,Wayne Adams
Il était une fois la Belle et la Bête,tt4422464,4422464.0,83,"['Pierre Adenot', 'Christophe Beaucarne', 'Vincent Cassel', 'Myriam Charleins', 'André Dussollier', 'Thierry Flamand', 'Christophe Gans', 'Pierre-Yves Gayraud', 'Sara Giraudeau', 'Richard Grandpierre', 'Audrey Lamy', 'Louis Morin', 'Eduardo Noriega', 'Léa Seydoux', 'Sandra Vo-Anh']",['Documentary'],['fr'],"['fr', 'en']",,,,,7.2,5.0,01 Oct 2014 (France),Il était une fois la Belle et la Bête,Sébastien Prangère,,,,,Eskwad,,,Éric Pinéda,Simon Philippe,,,
