Name,ID
Ryuichi Sakamoto,0757098
Christian Henson,0378194
tomandandy,0354453
Alex Wurman,0943391
Kwong Wing Chan,0150989
Aaron Zigman,0956374
Jonathan Davis,0204901
Adam F.,1109088
Ralph Sall,0758518
Billy Corgan,0004842
Frank Fitzpatrick,0280519
Mark Thomas,0859211
John Flansburgh,0281241
Hyeon-jin Baek,1291108
Danny Lux,0527668
Shiro Sato,1367957
Marc Ellis,1029259
Andrew Gross,0343320
Craig Wedren,0917208
Orange Music,1062692
Tony Maxwell,0561829
Robert Folk,0006077
Louis Febre,0006068
Philippe Chany,0152031
Julien Civange,0163010
Christina Agamanolis,4062174
Ralph Burns,0005985
Michel Colombier,0006014
Leigh Harline,0363316
Stephen Marley,1886328
Yûji Nomi,0634563
Jammes Luckett,1104637
Peter Gabriel,0300272
David Hess,0381450
Arvo Pärt,0701736
Joseph L. Altruda,0023032
Norman Orenstein,0002640
Ken Chan,4494035
Krishna Levy,0506500
Peter Maxwell Davies,0203903
Sean Dinsmore,1194336
Robert Hurst,0403648
Charlie Mole,0596495
The Insects,0409368
Ismail Darbar,0200930
Kennard Ramsey,0709019
Sergei Yevtushenko,1173561
Curt Cress,0187548
Michael Convertino,0006016
Kenji Kawai,0442766
Lisa Coleman,0171124
Graeme Coleman,0171046
Robert O. Ragland,0706534
David Carbonara,0136133
Christopher Franke,0006081
Richard Glasser,0322065
Isao Tomita,0866724
Armand Amar,0023940
Jaejin Lee,1018372
The Newton Brothers,0628611
Scott Aukerman,0042006
Jesper Winge Leisner,0500571
Zend Avesta,1226844
Jacques Davidovici,0203169
Mark McDuff,1197944
Rupert Gregson-Williams,0340003
Jim Lang,0486148
Rosino Serrano,1176565
Renaud Pion,0684791
Jim O'Rourke,0642550
Adrian Lee,0496758
Richard Harvey,0006124
Bias,0282533
Michael Gonzales,0327545
Raju Rao,1133075
Chu Ishikawa,0411044
Andrea Guerra,0345991
Ivri Lider,1252200
Jérôme Coullet,0183428
Paul Gross,0343472
Lucky Ali,0004699
Michael Rohatyn,0737459
Justin Reinhardt,0718117
Drew Neumann,0627032
Enrique Quezadas,0703412
Marty Stuart,0005473
Lucio Godoy,0324184
Adam Gorgoni,0330901
David Michael Frank,0006080
Jay Farrar,0268131
Marius Mihalache,1155890
Sandro Di Stefano,4126895
Michael Gordon Shapiro,0788597
Martin Klein,0458936
Éric Serra,0785385
S.P. Venkatesh,1143918
Romaric Laurence,1098137
Rey Valera,1311586
Anjan Biswas,0084434
John Harle,0363259
Sachin Sanghvi,1628769
Loek Dikker,0226693
Daniel Molksmith,2690897
Dong-jun Lee,0497173
Ori Vidislavski,0896502
Philippe Miller,0589147
Paul Misraki,0006201
Halfdan E,0246984
Simon Cloquet,0167058
Paul Conboy,0174207
Brian May,0006190
Christoph Gracian Schubert,0333474
Reidar Skaar,0803727
Patnaik R.P.,0994127
Jesse Lucas,1166054
Juan Bardem,0054219
George Blondheim,0089066
Tinturia,1311519
Xiaogang Ye,0946998
Wendell Hanes,1157473
Vandemataram Srinivas,0820258
Michael Giacchino,0315974
Süleyman Alnitemiz,1147615
Matthew Russell,1634071
Shrirang Umrani,4408333
Gyula Babos,0045040
Jerry Amaldev,1803939
Sujeet Chaubey,2745929
Karen Homayunfar,1165202
Kenyon Hopkins,0006132
Bert Wrede,0942080
Pablo Cervantes,0148899
Carl Dante,0200585
Antonio Avitia,0043228
Chris Ankin,6842661
Mohammad Reza Darvishi,0201802
Georges Auric,0005952
Rey Infante,2911954
Laxmikant Shantaram Kudalkar,0473742
Yoyong Nalasa,3451694
Mario Grigorov,0339704
David Campbell,0132371
Tapan Sinha,0802377
Kaori Kishitani,1221061
Jacqui Knapp,0094623
Robert Miller,6075879
Rahul Dev Burman,0005983
Emilio Castro,4409389
Stephan Dimitrov,0227392
Yi-Mo Tao,6497187
Haci Gezici,1857162
Gary Davis,0204632
Hitomi Oba,2941311
Koldo Ochotorena,2012799
Aritz Villodas,1749498
Dominik Hindinger,1389805
Arjun Sen,6599282
Dominik Ghanbar,2575206
Vasudev Shukla,1533010
Peter Rotter,0745448
Igor Stravinsky,0006311
RZA,0753526
Yeong-wook Jo,0423280
Clint Eastwood,0000142
Kevin Shields,1331774
Raf Keunen,1743738
Tarô Iwashiro,0412611
Scott Humphrey,5255611
Oliver Wallace,0006337
