Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
The State Counsellor,2005,N/A,21 Apr 2005,191 min,"Drama, Crime",Filipp Yankovskiy,"Boris Akunin (novel), Boris Akunin (screenplay)","Oleg Menshikov, Nikita Mikhalkov, Konstantin Khabenskiy, Vladimir Mashkov","Third film based on Boris Akunin's ""Priklucheniya Erasta Petrovicha Fandorina"" series of novels. On a train from St. Petersburg to Moscow general Khrapov was killed and no one else but ...","Russian, Japanese, French",Russia,5 wins & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"2,590",tt0450158,movie,N/A,N/A,N/A,N/A,True
Beauty and the Bastard,2005,N/A,21 Oct 2005,102 min,"Drama, Music, Romance",Dome Karukoski,Pekko Pesonen,"Pamela Tola, Samuel Vauramo, Joonas Saartamo, Eero Milonoff","A woman dulled with praise, Nelli is well on her way to Med-School thanks to her parents, but dreams of a career as a singer.",Finnish,Finland,4 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"2,854",tt0471957,movie,N/A,N/A,N/A,N/A,True
The Sisterhood,2019,N/A,N/A,90 min,N/A,Jean-François Rivard,James Phillips,"Claire Coffee, Lisa Berry, Siobhan Murphy, Taylor Thorne","Ashley Shields has had a rough year following the death of her mother, the disintegration of her marriage, and getting passed over for a promotion at work. So when her sister Jasmine brings...",English,Canada,N/A,[],N/A,N/A,N/A,tt9187222,movie,N/A,N/A,N/A,N/A,True
Typhoon,2005,R,14 Dec 2005,124 min,Action,Kyung-taek Kwak,Kyung-taek Kwak,"Dong-Gun Jang, Jung-jae Lee, Mi-yeon Lee, David Lee McInnis",A modern-day pirate plans a massive attack on North and South Korea.,"Korean, English, Thai, Russian, Mandarin",South Korea,2 wins & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,5.8,"1,188",tt0475750,movie,27 May 2008,"$114,607",Paramount Classics,N/A,True
Ark,2009–,N/A,N/A,N/A,"Sci-Fi, Thriller",N/A,Robbie Thompson,"Renée O'Connor, Adam Cardon","Two strangers, a man and woman, from separate times wake with no memory aboard a huge bioship. They must work together for answers as to where they are and why they are there.",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,118,tt1345784,series,,,,,True
Divergence,2005,R,28 Apr 2005,101 min,"Action, Crime",Benny Chan,Ivy Ho,"Aaron Kwok, Ekin Cheng, Daniel Wu, Angelica Lee","A cop, a lawyer, and an assassin cross paths after the murder of a federal witness and the kidnapping of a famous pop star.","Cantonese, Mandarin, English",Hong Kong,5 wins & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,"1,029",tt0455195,movie,30 Jan 2007,N/A,Tartan Video,N/A,True
Scared,2005,N/A,10 Nov 2005,81 min,Horror,Pakphum Wongjinda,Pakphum Wongjinda,"Borvornpoch Jaikunta, Suleeporn 'Napapa' Tantragul, Chidjan Rujiphun, Amonphan Gongtragan","A big group of freshman students go out of town. On the journey, their bus has to cross a creaky old river bridge which is the only way to get to the center of a dark forest. When the bus ...",Thai,Thailand,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,295,tt0488334,movie,N/A,N/A,N/A,N/A,True
Illusion,2005,N/A,N/A,100 min,Drama,"Ellen Ramos, Paolo Villaluna","Jon Red (story), Jon Red (screenplay), Paolo Villaluna (screenplay)","Yul Servo, J.C. Parker, Jennifer Lee, Ronnie Lazaro","Set in Philippine post-American colonialist era, where the American influence was still apparent, Ilusyon tells the story of Miguel, a young man from the countryside, who decides to visit ...",Tagalog,Philippines,2 wins & 11 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,47,tt0843521,movie,18 Apr 2006,N/A,N/A,N/A,True
The Gazelle's Blood,2005,PG-13,20 Sep 2005,N/A,Drama,Mohamed Yassin,Wahid Hamid,"Salah Abdallah, Mahmoud Abdel-Moghni, Amr Abd El-Guelil, Nour El-Sherif",N/A,Arabic,Egypt,2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,632,tt0461927,movie,N/A,N/A,N/A,N/A,True
Kazuo Umezu's Horror Theater: Bug's House,2005,N/A,18 Jun 2005,51 min,Horror,Kiyoshi Kurosawa,"Sadayuki Murai, Kazuo Umezu (comic)","Hidetoshi Nishijima, Tamaki Ogawa, Hisako Shirata",A husband and wife each believe that the other is cheating on them. The upstairs room in their house becomes a point of bizarre physical transformations.,Japanese,Japan,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,192,tt0488309,movie,N/A,N/A,N/A,N/A,True
Passing Fancy,1933,N/A,07 Sep 1933,100 min,Drama,Yasujirô Ozu,"Tadao Ikeda (adaptation), Yasujirô Ozu (idea)","Takeshi Sakamoto, Nobuko Fushimi, Den Ohinata, Chôko Iida",Two Tokyo co-workers come across a destitute young lady in search of a place to live.,N/A,Japan,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"1,139",tt0023937,movie,22 Apr 2008,N/A,Criterion Collection,N/A,True
Tattered Angel,2007,N/A,01 Oct 2015,95 min,Drama,Will Benson,Duffy Hudson,"Duffy Hudson, Susan Floyd, Kirk Baltz, Lynda Carter","No matter how hard you run from the past, it has a way of catching up with you. No one knows this better than 38 year-old Vince, back in his hometown of Silverton, Ohio, after a 13 year ...",English,USA,2 wins.,[],N/A,N/A,N/A,tt1252585,movie,N/A,N/A,N/A,N/A,True
Croczilla,2012,PG-13,08 Jun 2012,90 min,"Action, Comedy, Horror",Lisheng Lin,Lisheng Lin,"Barbie Hsu, Tao Guo, Zhaoqi Shi, Suet Lam",A 36 foot crocodile goes on the rampage in Beijing after being moved from a peaceful Crocodile Farm and onto the menu of a local gangster.,Cantonese,China,2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,612,tt2354196,movie,12 Feb 2013,N/A,Screen Media Films,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
Journeyman,2017,N/A,30 Mar 2018,92 min,"Drama, Sport",Paddy Considine,Paddy Considine,"Paddy Considine, Jodie Whittaker, Paul Popplewell, Brendan Ingle","Boxer Matty Burton suffers a serious head injury during a fight. This is the story about the impact on his marriage, his life, and his family.",English,UK,6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.1,"2,941",tt5314118,movie,N/A,N/A,N/A,N/A,True
The Lovers of Marona,2005,N/A,23 Jun 2006,107 min,"Drama, Romance",Izabella Cywinska,"Izabella Cywinska, Cezary Harasimowicz, Jaroslaw Iwaszkiewicz (story)","Karolina Gruszka, Lukasz Simlat, Krzysztof Zawadzki, Danuta Stenka",N/A,Polish,Poland,1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,95,tt0480691,movie,N/A,N/A,N/A,N/A,True
