Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
The Others,2001,PG-13,10 Aug 2001,104 min,"Horror, Mystery, Thriller",Alejandro Amenábar,Alejandro Amenábar,"Nicole Kidman, Fionnula Flanagan, Christopher Eccleston, Alakina Mann",A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,"English, French","Spain, USA, France, Italy",Nominated for 1 Golden Globe. Another 28 wins & 51 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.6,"319,137",tt0230600,movie,14 May 2002,"$96,080,075",Miramax Films,N/A,True
Planet of the Apes,2001,PG-13,27 Jul 2001,119 min,"Action, Adventure, Sci-Fi, Thriller",Tim Burton,"Pierre Boulle (novel), William Broyles Jr. (screenplay), Lawrence Konner (screenplay), Mark Rosenthal (screenplay)","Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan","In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",English,USA,Nominated for 2 BAFTA Film Awards. Another 10 wins & 27 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,5.7,"203,365",tt0133152,movie,20 Nov 2001,"$178,094,583",20th Century Fox,N/A,True
Original Sin,2001,R,03 Aug 2001,116 min,"Drama, Mystery, Romance, Thriller",Michael Cristofer,"Cornell Woolrich (novel), Michael Cristofer (screenplay)","Antonio Banderas, Angelina Jolie, Thomas Jane, Jack Thompson","A woman, along with her lover, plans to con a rich man by marrying him, earning his trust, and then running away with all his money. Everything goes as planned until she falls in love with him.","English, German, Japanese, Latin, Spanish","France, Mexico, USA",2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,6.1,"51,131",tt0218922,movie,26 Mar 2002,"$15,113,699",MGM,N/A,True
Vanilla Sky,2001,R,14 Dec 2001,136 min,"Fantasy, Mystery, Romance, Sci-Fi, Thriller",Cameron Crowe,"Alejandro Amenábar (film ""Abre Los Ojos""), Mateo Gil (film ""Abre Los Ojos""), Cameron Crowe (screenplay)","Tom Cruise, Penélope Cruz, Cameron Diaz, Kurt Russell",A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,"English, Spanish","USA, Spain",Nominated for 1 Oscar. Another 5 wins & 33 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,6.9,"237,262",tt0259711,movie,21 May 2002,N/A,Paramount Pictures,N/A,True
Bridget Jones's Diary,2001,R,13 Apr 2001,97 min,"Comedy, Drama, Romance",Sharon Maguire,"Helen Fielding (novel), Helen Fielding (screenplay), Andrew Davies (screenplay), Richard Curtis (screenplay)","Renée Zellweger, Gemma Jones, Celia Imrie, James Faulkner",A British woman is determined to improve herself while she looks for love in a year in which she keeps a personal diary.,English,"UK, France, USA",Nominated for 1 Oscar. Another 8 wins & 29 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.7,"210,347",tt0243155,movie,09 Oct 2001,N/A,Miramax Films,N/A,True
Lara Croft: Tomb Raider,2001,PG-13,15 Jun 2001,100 min,"Action, Adventure, Fantasy, Thriller",Simon West,"Sara B. Cooper (story), Mike Werb (story), Michael Colleary (story), Simon West (adaptation), Patrick Massett (screenplay), John Zinman (screenplay)","Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor",Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,English,"USA, UK, Japan, Germany",4 wins & 18 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,5.8,"188,683",tt0146316,movie,13 Nov 2001,"$129,512,407",Paramount Pictures,N/A,True
,,,,,,,,,,,,,,,,,,,,,,,False
Ghost World,2001,R,21 Sep 2001,111 min,"Comedy, Drama",Terry Zwigoff,"Daniel Clowes (comic book), Daniel Clowes, Terry Zwigoff","Thora Birch, Scarlett Johansson, Steve Buscemi, Brad Renfro","With only the plan of moving in together after high school, two unusually devious friends seek direction in life. As a mere gag, they respond to a man's newspaper ad for a date, only to find it will greatly complicate their lives.",English,"USA, UK, Germany",Nominated for 1 Oscar. Another 28 wins & 55 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,7.3,"108,136",tt0162346,movie,05 Feb 2002,"$4,694,484",United Artists,N/A,True
Enemy at the Gates,2001,R,16 Mar 2001,131 min,"Drama, History, War",Jean-Jacques Annaud,"Jean-Jacques Annaud, Alain Godard","Jude Law, Ed Harris, Rachel Weisz, Joseph Fiennes",A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,"English, German, Russian","Ireland, UK, France, Germany, USA",4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,7.6,"227,744",tt0215750,movie,14 Aug 2001,"$50,507,533",Paramount Pictures,N/A,True
Serendipity,2001,PG-13,05 Oct 2001,90 min,"Comedy, Romance",Peter Chelsom,Marc Klein,"John Cusack, Kate Beckinsale, Jeremy Piven, Bridget Moynahan","A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.","English, French",USA,3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.9,"98,965",tt0240890,movie,09 Apr 2002,"$49,968,653",Miramax Films,N/A,True
